ticker,ym,tercil_hhi,deg_avg_sub,eigen_cent_sub,n_tickers_subgrupo
GOLL4,202001,1,0.204079025033548,0.491462617052797,76
HAPV3,202001,1,0.302760775222095,0.834238801326078,76
IGTA3,202001,1,0.23575480874484,0.616559974929971,76
ITSA4,202001,1,0.287590831671074,0.763496836889822,76
ITUB4,202001,1,0.346444871282619,0.951945812170268,76
JBSS3,202001,1,0.346823797130003,0.903733398324014,76
LAME3,202001,1,0.213443874316778,0.553290606165696,76
LAME4,202001,1,0.293543551056554,0.807047220648637,76
LCAM3,202001,1,0.225327831760203,0.565901335178532,76
LIGT3,202001,1,0.214323325691758,0.528001798632379,76
LREN3,202001,1,0.360489618353376,0.98092313210522,76
MDIA3,202001,1,0.14895791471498,0.382173778122907,76
MGLU3,202001,1,0.296799473179869,0.769914266395982,76
MILS3,202001,1,0.139559102632995,0.329210213267676,76
NEOE3,202001,1,0.297764166752756,0.814361663940903,76
NTCO3,202001,1,0.262428265939043,0.688561167677155,76
OIBR3,202001,1,0.132494446980051,0.33037459371666,76
OMGE3,202001,1,0.164021414896904,0.435995030490049,76
PETR3,202001,1,0.316711622821434,0.866096912449881,76
PETR4,202001,1,0.360605363872872,0.991199872615181,76
QUAL3,202001,1,0.237476853540677,0.622408807490006,76
RADL3,202001,1,0.304299807299036,0.830024260391229,76
RAIL3,202001,1,0.267465141713758,0.753400996958491,76
RENT3,202001,1,0.332647004211409,0.874288647857603,76
SANB11,202001,1,0.211452831675329,0.580754299282229,76
SAPR11,202001,1,0.145244566815147,0.349208727433771,76
SBSP3,202001,1,0.293889923959832,0.818534716686634,76
SEER3,202001,1,0.17045594132415,0.402033902059681,76
SMLS3,202001,1,0.219914510192495,0.556653781718457,76
SMTO3,202001,1,0.201332346346103,0.528006721931023,76
SULA11,202001,1,0.311449525602004,0.831873740570419,76
SUZB3,202001,1,0.241838910932548,0.666715334545902,76
TIMP3,202001,1,0.310266497948117,0.853184890039257,76
TOTS3,202001,1,0.210755946845131,0.569969095626937,76
TRIS3,202001,1,0.131586911687622,0.302323796294509,76
UGPA3,202001,1,0.269637501511474,0.734020350297554,76
USIM5,202001,1,0.255711163907153,0.657455529510809,76
VALE3,202001,1,0.376640848175741,0.991339415151491,76
VIVA3,202001,1,0.262644537304943,0.707395112182141,76
VIVT4,202001,1,0.160778684260887,0.431268973086867,76
VVAR3,202001,1,0.256305276577728,0.677996810421168,76
WEGE3,202001,1,0.24061773458637,0.642334822326533,76
YDUQ3,202001,1,0.196760667576195,0.505852492410515,76
ABEV3,202002,1,0.206205922643102,0.554588906626284,78
ALPA4,202002,1,0.187587513532884,0.520454174569734,78
ALSO3,202002,1,0.222791000560639,0.578997131480352,78
ARZZ3,202002,1,0.185092146680255,0.465793293192246,78
AZUL4,202002,1,0.24372012264708,0.698896335036006,78
B3SA3,202002,1,0.361769523162976,1,78
BBAS3,202002,1,0.315418876037245,0.857275660418579,78
BBDC3,202002,1,0.191327575392896,0.519795999338174,78
BBDC4,202002,1,0.284537574382246,0.76815385805836,78
BBSE3,202002,1,0.129559161938084,0.338745910015795,78
BMGB4,202002,1,0.116466312595589,0.30340360967936,78
BPAC11,202002,1,0.286352730345599,0.801677865405008,78
BRAP4,202002,1,0.260158897028544,0.717030781391586,78
