setor,ym,valor_setor,n_fundos_setor,n_tickers_setor,aum_total_mes,share_setor,share_prev1,share_prev3,delta_share_1m,delta_share_3m
Bancos,201806,18853186630.7951,1250,21,107697210646.92,0.175057334517274,0.178006881046881,0.184253262028164,-0.00294954652960691,-0.00919592751088991
Bancos,201807,17955789526.548,1260,21,104191187693.892,0.172335011472383,0.175057334517274,0.183767547671179,-0.0027223230448907,-0.0114325361987955
Bancos,201808,17847030398.1114,1274,23,108043579827.41,0.165183627075485,0.172335011472383,0.178006881046881,-0.00715138439689803,-0.0128232539713956
Bancos,201809,17445140300.4086,1261,22,106660522580.877,0.163557611366291,0.165183627075485,0.175057334517274,-0.00162601570919371,-0.0114997231509824
Bancos,201810,18815518823.8354,1264,22,116108798282.466,0.16205075844521,0.163557611366291,0.172335011472383,-0.00150685292108144,-0.0102842530271732
Bancos,201811,23141073905.5841,1270,22,131193687159.846,0.176388623618673,0.16205075844521,0.165183627075485,0.0143378651734631,0.0112049965431879
Bancos,201812,24408208059.4704,1276,22,140270231627.397,0.174008467629158,0.176388623618673,0.163557611366291,-0.00238015598951527,0.0104508562628664
Bancos,201901,26468447694.9651,1307,22,142316178989.126,0.18598340598357,0.174008467629158,0.16205075844521,0.0119749383544124,0.0239326475383602
Bancos,201902,31405993151.856,1314,21,160744912098.041,0.195377836486053,0.18598340598357,0.176388623618673,0.00939443050248251,0.0189892128673796
Bancos,201903,29417227880.7464,1317,21,162201074038.707,0.18136271942149,0.195377836486053,0.174008467629158,-0.0140151170645629,0.00735425179233201
Bancos,201904,28702417921.2487,1325,22,162912423696.299,0.176183112803942,0.18136271942149,0.18598340598357,-0.00517960661754754,-0.00980029317962791
Bancos,201905,30529655028.6393,1324,23,164994815118.071,0.185034026716489,0.176183112803942,0.195377836486053,0.00885091391254694,-0.0103438097695635
Bancos,201906,31488458341.9925,1326,22,181024072690.824,0.173946248551001,0.185034026716489,0.18136271942149,-0.0110877781654886,-0.00741647087048922
Bancos,201907,30456322482.7512,1353,24,189109026939.336,0.16105165880062,0.173946248551001,0.176183112803942,-0.0128945897503807,-0.0151314540033224
Bancos,201908,27691233305.4633,1330,24,194213307753.444,0.142581544106224,0.16105165880062,0.185034026716489,-0.0184701146943964,-0.0424524826102657
Bancos,201909,28812729448.4522,1343,24,207052548171.914,0.139156603977311,0.142581544106224,0.173946248551001,-0.0034249401289127,-0.0347896445736897
Bancos,201910,32273378933.8092,1351,25,220895558360.9,0.146102434894054,0.139156603977311,0.16105165880062,0.00694583091674328,-0.0149492239065658
Bancos,201911,30092354581.4243,1330,26,224375513401.092,0.134116036662304,0.146102434894054,0.142581544106224,-0.0119863982317498,-0.00846550744391919
Bancos,201912,33409873949.7242,1367,26,252163993347.622,0.132492643006597,0.134116036662304,0.139156603977311,-0.00162339365570766,-0.00666396097071415
Bancos,202001,31475998128.1843,1363,26,288436917407.342,0.109126107750391,0.132492643006597,0.146102434894054,-0.0233665352562055,-0.0369763271436629
